,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0
Vendor 1,0.48,0.77,1.05,1.29,1.52,1.7,1.81,1.88,1.95
Vendor 2,0.19,0.38,0.64,0.89,1.11,1.34,1.52,1.65,1.74
Vendor 3,0.73,1.05,1.4,1.79,2.18,2.54,2.88,3.14,3.33
Vendor 4,0.18,0.3,0.45,0.64,0.82,1.01,1.19,1.33,1.44
Vendor 5,0.46,0.78,1.14,1.51,1.86,2.14,2.38,2.56,2.69
Empirical,0.44,0.95,1.45,1.89,2.28,2.56,2.77,2.93,3.03
